Lines,Lon,VehicleNumber,Time,Lat,Brigade
170,21.0807048,1804,2024-01-25 13:14:29,52.2775223,2
166,21.067845,1805,2024-01-25 13:14:19,52.1402613,8
197,21.045075,1807,2024-01-25 09:50:39,52.264674,08
170,21.0543543,1808,2024-01-25 13:14:35,52.2614411,1
118,21.0280963,1809,2024-01-25 13:14:32,52.2299508,3
303,20.9499343,1810,2024-01-25 13:14:36,52.2706181,2
156,21.0751858,1811,2024-01-25 13:14:34,52.2685921,5
122,20.9625576,1812,2024-01-25 13:14:32,52.2595808,09
123,21.0443483,1814,2024-01-25 09:06:08,52.2649276,08
123,21.052569,1815,2024-01-25 13:14:23,52.250216,1
122,20.9683073,1816,2024-01-25 09:42:13,52.2692586,010
126,20.9527855,1817,2024-01-25 13:14:31,52.317279,4
123,21.0866581,1818,2024-01-25 13:14:34,52.2228465,5
166,21.0333,1819,2024-01-25 13:14:32,52.2583666,5
197,21.044844,1833,2024-01-25 13:14:32,52.2646333,08
115,21.235501,1835,2024-01-25 13:14:16,52.170743,2
730,21.3779643,1838,2024-01-25 13:14:33,52.1994895,01
123,21.0852786,1839,2024-01-25 13:14:29,52.245246,2
115,21.1703795,1840,2024-01-25 13:14:33,52.2768778,5
730,21.1172076,1842,2024-01-25 10:22:17,52.2330723,053
722,21.277503,1843,2024-01-25 13:14:17,52.193229,61
156,21.044097,1844,2024-01-25 10:25:46,52.2650503,06
106,20.9650888,1846,2024-01-25 13:14:35,52.2477656,07
119,21.1342498,1849,2024-01-25 13:14:29,52.2033666,4
702,21.2332738,1851,2024-01-25 13:14:31,52.1059128,1
117,21.0911035,1855,2024-01-25 13:14:33,52.2219995,4
156,20.928132,1856,2024-01-25 13:14:32,52.2909285,3
115,21.17037,1862,2024-01-25 13:14:30,52.2770133,4
119,21.2055268,1863,2024-01-25 13:14:33,52.209998,5
168,21.1126336,1869,2024-01-25 13:14:34,52.2365133,1
222,21.005009,1901,2024-01-25 13:14:35,52.244701,1
106,21.019508,1904,2024-01-25 13:14:36,52.246277,2
222,21.010429,1906,2024-01-25 13:14:25,52.192086,4
222,21.004847,1908,2024-01-25 13:14:32,52.244762,2
222,20.9974899,1910,2024-01-25 07:31:08,52.1860529,3
222,21.020065,1911,2024-01-25 13:14:35,52.213284,6
251,21.0765502,1912,2024-01-25 13:14:35,52.1677567,066
106,21.016626,1913,2024-01-25 13:14:34,52.240067,3
251,20.995326,1914,2024-01-25 11:26:52,52.186706,066
106,20.995243,1915,2024-01-25 10:36:47,52.18668,1
106,20.965061,1916,2024-01-25 13:14:36,52.2476654,5
166,20.995315,1917,2024-01-25 10:14:44,52.186581,011
222,20.9955364,1918,2024-01-25 13:14:35,52.1908617,5
