odleglosc,ulica_id,nr_zespolu,typ,nr_przystanku,line
2672,1965,1422,2,02,211
2162,1965,1421,2,02,211
3312,1965,1317,5,02,211
3142,1965,1317,4,01,211
0,1965,1317,5,02,211
860,2093,1421,2,01,211
410,1965,1422,2,01,211
1703,2108,1406,1,01,211
1330,0547,1405,1,02,211
2898,1963,1315,1,02,211
2508,1963,1253,1,04,211
3228,1963,1316,4,02,211
10306,1965,1422,2,02,211
10776,1965,1317,1,01,211
11296,1514,1366,2,02,211
12106,1854,1027,1,03,211
8394,2108,1253,1,02,211
9190,0547,1406,1,03,211
9396,0547,1405,1,01,211
9796,1965,1421,2,02,211
12743,0288,1942,2,01,211
13187,1454,1943,2,01,211
0,1514,1013,3,14,211
1065,1514,1015,2,02,211
337,1514,1013,1,02,211
2250,0520,1571,2,01,211
1662,2844,1016,1,03,211
3213,1538,1499,2,02,211
2631,1538,1500,1,02,211
4207,1538,1122,1,02,211
3605,1538,1498,2,02,211
4744,2108,1256,1,01,211
4504,1538,1250,1,02,211
5554,1964,1312,2,02,211
5274,2108,1219,1,01,211
6274,1964,1313,1,02,211
5844,1964,1497,2,02,211
7014,1517,1118,1,02,211
6624,2814,1278,2,02,211
8024,1963,1315,1,01,211
7634,1963,1316,1,01,211
13648,1454,1944,3,01,211
4618,1964,1313,1,01,211
4208,1964,1278,2,01,211
5318,1964,1312,2,01,211
4978,1964,1497,2,01,211
6138,2108,1256,4,02,211
5638,2108,1219,1,02,211
0,1965,1317,5,02,211
860,2093,1421,2,01,211
410,1965,1422,2,01,211
1703,2108,1406,1,01,211
1330,0547,1405,1,02,211
2898,1963,1315,1,02,211
2508,1963,1253,1,04,211
3658,1517,1118,1,01,211
3228,1963,1316,1,02,211
0,2108,1256,7,02,211
580,2109,1277,7,09,211
10102,1514,1016,1,01,211
10569,1514,1015,2,01,211
11072,1514,1014,2,01,211
11773,1514,1013,3,14,211
8467,1538,1499,2,01,211
8939,1538,1500,1,01,211
9196,0520,1570,2,02,211
9449,0520,1571,2,02,211
0,1965,1317,5,02,211
860,2093,1421,2,01,211
410,1965,1422,2,01,211
1703,2108,1406,1,01,211
1330,0547,1405,1,02,211
2898,1963,1315,1,02,211
2508,1963,1253,1,04,211
3658,1517,1118,1,01,211
3228,1963,1316,1,02,211
4618,1964,1313,1,01,211
4208,1964,1278,2,01,211
5318,1964,1312,2,01,211
4978,1964,1497,2,01,211
6148,1538,1256,1,03,211
5638,2108,1219,1,02,211
6778,2106,1251,2,03,211
6378,1856,1250,1,04,211
7930,1538,1498,2,01,211
7048,2106,1469,1,05,211
10306,1965,1422,2,02,211
10776,1965,1317,4,01,211
10946,1965,1317,5,02,211
8394,2108,1253,1,02,211
9190,0547,1406,1,03,211
9396,0547,1405,1,01,211
9796,1965,1421,2,02,211
0,1514,1013,3,14,211
1065,1514,1015,2,02,211
337,1514,1013,1,02,211
2250,0520,1571,2,01,211
1662,2844,1016,1,03,211
3213,1538,1499,2,02,211
2631,1538,1500,1,02,211
4207,1538,1122,1,02,211
3605,1538,1498,2,02,211
4744,2108,1256,1,01,211
4504,1538,1250,1,02,211
5554,1964,1312,2,02,211
5274,2108,1219,1,01,211
6274,1964,1313,1,02,211
5844,1964,1497,2,02,211
7014,1517,1118,1,02,211
6624,2814,1278,2,02,211
8024,1963,1315,1,01,211
7634,1963,1316,1,01,211
0,2109,1277,7,09,211
4941,1965,1317,7,02,211
0,2109,1277,7,09,211
1130,2108,1256,7,01,211
4012,1965,1317,5,02,211
0,1963,1316,4,02,211
1090,1963,1315,1,01,211
700,1963,1316,5,01,211
2256,0547,1406,1,03,211
1460,2108,1253,1,02,211
2862,1965,1421,2,02,211
2462,0547,1405,1,01,211
3842,1965,1317,4,01,211
3372,1965,1422,2,02,211
0,1963,1316,7,02,211
3277,1965,1317,7,02,211
0,2108,1256,7,02,211
5177,1965,1317,7,02,211
4446,0547,1406,1,03,211
3650,2108,1253,1,02,211
5052,1965,1421,2,02,211
4652,0547,1405,1,01,211
6032,1965,1317,4,01,211
5562,1965,1422,2,02,211
6202,1965,1317,5,02,211
0,2108,1256,5,01,211
810,1964,1312,2,02,211
530,2108,1219,1,01,211
1530,1964,1313,1,02,211
1100,1964,1497,2,02,211
2270,1517,1118,1,02,211
1880,2814,1278,2,02,211
3280,1963,1315,1,01,211
2890,1963,1316,1,01,211
0,1221,R-11,6,00,N45
7243,3541,7002,3,29,N45
0,0938,5192,4,03,N45
4382,1221,R-11,6,99,N45
0,0601,7001,7,03,N45
900,3541,7002,3,29,N45
0,0601,7002,4,11,N45
625,3541,7002,3,29,N45
11666,1206,5053,2,01,N45
12046,1303,5163,2,01,N45
12276,1303,5052,2,01,N45
12888,1303,5051,2,01,N45
9670,1905,5063,2,04,N45
10149,1905,5110,2,02,N45
10796,1905,5055,2,02,N45
11301,1206,5054,2,01,N45
13163,1303,5050,2,01,N45
13494,1303,5049,2,01,N45
0,3541,7002,3,29,N45
1315,1804,7088,2,06,N45
580,0110,7002,1,04,N45
2285,1804,5040,2,02,N45
1685,1804,5039,2,02,N45
3291,1204,5042,2,02,N45
2543,1804,5041,2,02,N45
4554,1501,5025,2,04,N45
3826,1809,5005,2,06,N45
5583,1702,5067,2,02,N45
5017,1501,5066,2,02,N45
6325,1702,5069,2,02,N45
5909,1702,5068,2,02,N45
6926,1702,5071,2,02,N45
6535,1702,5070,2,02,N45
7645,0501,5073,2,06,N45
7245,1702,5072,2,02,N45
9015,1905,5106,2,02,N45
8675,0501,5074,2,04,N45
14491,1303,5047,2,01,N45
14017,1303,5048,2,01,N45
15744,0938,5192,4,03,N45
15244,1303,5045,2,01,N45
14879,1303,5046,2,01,N45
11666,1206,5053,2,01,N45
12046,1303,5163,2,01,N45
12276,1303,5052,2,01,N45
12888,1303,5051,2,01,N45
9670,1905,5063,2,04,N45
10149,1905,5110,2,02,N45
10796,1905,5055,2,02,N45
11301,1206,5054,2,01,N45
13163,1303,5050,2,01,N45
13494,1303,5049,2,01,N45
0,3541,7002,3,29,N45
1315,1804,7088,2,06,N45
580,0110,7002,1,04,N45
2285,1804,5040,2,02,N45
1685,1804,5039,2,02,N45
3291,1204,5042,2,02,N45
2543,1804,5041,2,02,N45
4554,1501,5025,2,04,N45
3826,1809,5005,2,06,N45
5583,1702,5067,2,02,N45
5017,1501,5066,2,02,N45
6325,1702,5069,2,02,N45
5909,1702,5068,2,02,N45
6926,1702,5071,2,02,N45
6535,1702,5070,2,02,N45
7645,0501,5073,2,06,N45
7245,1702,5072,2,02,N45
9015,1905,5106,2,02,N45
8675,0501,5074,2,04,N45
14491,1303,5047,2,01,N45
14017,1303,5048,2,01,N45
15798,1303,5192,3,04,N45
15244,1303,5045,2,01,N45
14879,1303,5046,2,01,N45
10456,1804,5041,2,01,N45
10935,1804,5040,2,01,N45
11481,1804,5039,2,01,N45
11937,2102,7088,2,05,N45
8308,1809,5112,2,01,N45
